sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,model_path,model_shorthand,stage,ingredient,step,tokens_seen
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0,0,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.001564621925354004,1,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.09322196245193481,2,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.3009660840034485,3,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.355411171913147,4,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.43467146158218384,5,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.4708099961280823,6,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5074897110462189,7,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5195247530937195,8,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5404170155525208,9,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5520329177379608,10,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5385943055152893,11,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5438804030418396,12,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5424082279205322,13,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5208636224269867,14,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5203269422054291,15,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5087870657444,16,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5059436559677124,17,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.5106262564659119,18,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.48452985286712646,19,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.4719458818435669,20,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.4687412977218628,21,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.4641134738922119,22,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.4636688232421875,23,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.45921581983566284,24,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.4556131362915039,25,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.44257062673568726,26,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.4276736378669739,27,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
