item,item_id,condition,question_id,question,correct_answer,distractor_answer,prob_correct,prob_distractor,log_odds,is_correct,model_path,model_shorthand,stage,ingredient,step,tokens_seen
7,,,1,"At the start of the story, David put the wine in the",garage,fridge,0.036527119576931,0.0259158406406641,0.4951337997683728,True,EleutherAI/pythia-14m,Pythia 14m,,,82000,
7,,,2,"At the end of the story, the wine was in the",fridge,garage,0.016048656776547432,0.004542784299701452,1.8208038430946059,True,EleutherAI/pythia-14m,Pythia 14m,,,82000,
7,,,3,The person who put the wine in the garage was,David,Marta,1.9092212824034505e-05,1.970558287212043e-06,3.276307994804886,True,EleutherAI/pythia-14m,Pythia 14m,,,82000,
7,,,4,The person who moved the wine to the fridge was,Marta,David,3.4720364965323824e-06,2.1531541278818622e-05,-2.6325975767806633,False,EleutherAI/pythia-14m,Pythia 14m,,,82000,
7,,,1,"At the start of the story, David put the wine in the",garage,fridge,0.036527119576931,0.0259158406406641,0.4951337997683728,True,EleutherAI/pythia-14m,Pythia 14m,,,82000,
7,,,2,"At the end of the story, the wine was in the",fridge,garage,0.016048656776547432,0.004542784299701452,1.8208038430946059,True,EleutherAI/pythia-14m,Pythia 14m,,,82000,
7,,,3,The person who put the wine in the garage was,David,Marta,1.9092212824034505e-05,1.970558287212043e-06,3.276307994804886,True,EleutherAI/pythia-14m,Pythia 14m,,,82000,
7,,,4,The person who moved the wine to the fridge was,Marta,David,3.4720364965323824e-06,2.1531541278818622e-05,-2.6325975767806633,False,EleutherAI/pythia-14m,Pythia 14m,,,82000,
7,,,1,"At the start of the story, David put the wine in the",garage,fridge,0.016768349334597588,0.040966007858514786,-1.2886866309643978,False,EleutherAI/pythia-14m,Pythia 14m,,,82000,
7,,,2,"At the end of the story, the wine was in the",fridge,garage,0.027728727087378502,0.002866933587938547,3.2738009993833073,True,EleutherAI/pythia-14m,Pythia 14m,,,82000,
7,,,3,The person who put the wine in the garage was,David,Marta,2.5918772735167295e-05,2.25224721361883e-06,3.524560311729333,True,EleutherAI/pythia-14m,Pythia 14m,,,82000,
7,,,4,The person who moved the wine to the fridge was,Marta,David,3.3679098123684525e-06,2.480719740560744e-05,-2.8808333450906822,False,EleutherAI/pythia-14m,Pythia 14m,,,82000,
7,,,1,"At the start of the story, David put the wine in the",garage,fridge,0.016768349334597588,0.040966007858514786,-1.2886866309643978,False,EleutherAI/pythia-14m,Pythia 14m,,,82000,
7,,,2,"At the end of the story, the wine was in the",fridge,garage,0.027728727087378502,0.002866933587938547,3.2738009993833073,True,EleutherAI/pythia-14m,Pythia 14m,,,82000,
7,,,3,The person who put the wine in the garage was,David,Marta,2.5918772735167295e-05,2.25224721361883e-06,3.524560311729333,True,EleutherAI/pythia-14m,Pythia 14m,,,82000,
