item,item_id,condition,knowledge_cue,first_mention,recent_mention,passage_hr,passage,question_id,question,correct_answer,distractor_answer,prob_correct,prob_distractor,log_odds,is_correct,model_path,model_shorthand,stage,ingredient,step,tokens_seen
7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,passage_hr,passage,1,"At the start of the story, David put the wine in the",garage,fridge,0.43430274724960327,0.3781530261039734,0.1997309149321004,True,EleutherAI/pythia-6.9b,Pythia 6.9B,,,101000,
7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,passage_hr,passage,2,"At the end of the story, the wine was in the",fridge,garage,0.7653616070747375,0.05266208201646805,3.861305067589287,True,EleutherAI/pythia-6.9b,Pythia 6.9B,,,101000,
7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,passage_hr,passage,3,The person who put the wine in the garage was,David,Marta,0.11674841493368149,0.3109053671360016,-1.4130725591002025,False,EleutherAI/pythia-6.9b,Pythia 6.9B,,,101000,
7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,passage_hr,passage,4,The person who moved the wine to the fridge was,Marta,David,0.5279743075370789,0.11667011678218842,2.1780326416941374,True,EleutherAI/pythia-6.9b,Pythia 6.9B,,,101000,
7,7_fb_1_s_e_im,False Belief,Implicit,Start,End,passage_hr,passage,1,"At the start of the story, David put the wine in the",garage,fridge,0.43430274724960327,0.3781530261039734,0.1997309149321004,True,EleutherAI/pythia-6.9b,Pythia 6.9B,,,101000,
7,7_fb_1_s_e_im,False Belief,Implicit,Start,End,passage_hr,passage,2,"At the end of the story, the wine was in the",fridge,garage,0.7653616070747375,0.05266208201646805,3.861305067589287,True,EleutherAI/pythia-6.9b,Pythia 6.9B,,,101000,
7,7_fb_1_s_e_im,False Belief,Implicit,Start,End,passage_hr,passage,3,The person who put the wine in the garage was,David,Marta,0.11674841493368149,0.3109053671360016,-1.4130725591002025,False,EleutherAI/pythia-6.9b,Pythia 6.9B,,,101000,
7,7_fb_1_s_e_im,False Belief,Implicit,Start,End,passage_hr,passage,4,The person who moved the wine to the fridge was,Marta,David,0.5279743075370789,0.11667011678218842,2.1780326416941374,True,EleutherAI/pythia-6.9b,Pythia 6.9B,,,101000,
7,7_tb_1_s_e_ex,True Belief,Explicit,Start,End,passage_hr,passage,1,"At the start of the story, David put the wine in the",garage,fridge,0.28284376859664917,0.47924765944480896,-0.7607659991114587,False,EleutherAI/pythia-6.9b,Pythia 6.9B,,,101000,
7,7_tb_1_s_e_ex,True Belief,Explicit,Start,End,passage_hr,passage,2,"At the end of the story, the wine was in the",fridge,garage,0.6499907970428467,0.0947507992386818,2.778209273930076,True,EleutherAI/pythia-6.9b,Pythia 6.9B,,,101000,
7,7_tb_1_s_e_ex,True Belief,Explicit,Start,End,passage_hr,passage,3,The person who put the wine in the garage was,David,Marta,0.14842157065868378,0.27189549803733826,-0.8733514844257854,False,EleutherAI/pythia-6.9b,Pythia 6.9B,,,101000,
7,7_tb_1_s_e_ex,True Belief,Explicit,Start,End,passage_hr,passage,4,The person who moved the wine to the fridge was,Marta,David,0.45354408025741577,0.15098954737186432,1.5867940952361892,True,EleutherAI/pythia-6.9b,Pythia 6.9B,,,101000,
7,7_tb_1_s_e_im,True Belief,Implicit,Start,End,passage_hr,passage,1,"At the start of the story, David put the wine in the",garage,fridge,0.28284376859664917,0.47924765944480896,-0.7607659991114587,False,EleutherAI/pythia-6.9b,Pythia 6.9B,,,101000,
7,7_tb_1_s_e_im,True Belief,Implicit,Start,End,passage_hr,passage,2,"At the end of the story, the wine was in the",fridge,garage,0.6499907970428467,0.0947507992386818,2.778209273930076,True,EleutherAI/pythia-6.9b,Pythia 6.9B,,,101000,
7,7_tb_1_s_e_im,True Belief,Implicit,Start,End,passage_hr,passage,3,The person who put the wine in the garage was,David,Marta,0.14842157065868378,0.27189549803733826,-0.8733514844257854,False,EleutherAI/pythia-6.9b,Pythia 6.9B,,,101000,
7,7_tb_1_s_e_im,True Belief,Implicit,Start,End,passage_hr,passage,4,The person who moved the wine to the fridge was,Marta,David,0.45354408025741577,0.15098954737186432,1.5867940952361892,True,EleutherAI/pythia-6.9b,Pythia 6.9B,,,101000,
7,7_fb_1_s_s_ex,False Belief,Explicit,Start,Start,passage_hr,passage,1,"At the start of the story, David put the wine in the",garage,fridge,0.3123630881309509,0.4438939392566681,-0.5069910302040168,False,EleutherAI/pythia-6.9b,Pythia 6.9B,,,101000,
7,7_fb_1_s_s_ex,False Belief,Explicit,Start,Start,passage_hr,passage,2,"At the end of the story, the wine was in the",fridge,garage,0.7016048431396484,0.07493054121732712,3.227032929568061,True,EleutherAI/pythia-6.9b,Pythia 6.9B,,,101000,
7,7_fb_1_s_s_ex,False Belief,Explicit,Start,Start,passage_hr,passage,3,The person who put the wine in the garage was,David,Marta,0.12572261691093445,0.27848541736602783,-1.1473575769400313,False,EleutherAI/pythia-6.9b,Pythia 6.9B,,,101000,
7,7_fb_1_s_s_ex,False Belief,Explicit,Start,Start,passage_hr,passage,4,The person who moved the wine to the fridge was,Marta,David,0.49746301770210266,0.12678366899490356,1.9722203532027627,True,EleutherAI/pythia-6.9b,Pythia 6.9B,,,101000,
7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,passage_hr,passage,1,"At the start of the story, David put the wine in the",garage,fridge,0.3123630881309509,0.4438939392566681,-0.5069910302040168,False,EleutherAI/pythia-6.9b,Pythia 6.9B,,,101000,
7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,passage_hr,passage,2,"At the end of the story, the wine was in the",fridge,garage,0.7016048431396484,0.07493054121732712,3.227032929568061,True,EleutherAI/pythia-6.9b,Pythia 6.9B,,,101000,
7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,passage_hr,passage,3,The person who put the wine in the garage was,David,Marta,0.12572261691093445,0.27848541736602783,-1.1473575769400313,False,EleutherAI/pythia-6.9b,Pythia 6.9B,,,101000,
7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,passage_hr,passage,4,The person who moved the wine to the fridge was,Marta,David,0.49746301770210266,0.12678366899490356,1.9722203532027627,True,EleutherAI/pythia-6.9b,Pythia 6.9B,,,101000,
7,7_tb_1_s_s_ex,True Belief,Explicit,Start,Start,passage_hr,passage,1,"At the start of the story, David put the wine in the",garage,fridge,0.1675727218389511,0.5931899547576904,-1.8237068465499338,False,EleutherAI/pythia-6.9b,Pythia 6.9B,,,101000,
7,7_tb_1_s_s_ex,True Belief,Explicit,Start,Start,passage_hr,passage,2,"At the end of the story, the wine was in the",fridge,garage,0.6678805947303772,0.0788298174738884,3.0827768581553476,True,EleutherAI/pythia-6.9b,Pythia 6.9B,,,101000,
7,7_tb_1_s_s_ex,True Belief,Explicit,Start,Start,passage_hr,passage,3,The person who put the wine in the garage was,David,Marta,0.1421121209859848,0.26377761363983154,-0.8922925209380618,False,EleutherAI/pythia-6.9b,Pythia 6.9B,,,101000,
7,7_tb_1_s_s_ex,True Belief,Explicit,Start,Start,passage_hr,passage,4,The person who moved the wine to the fridge was,Marta,David,0.4298851191997528,0.14271000027656555,1.5908647372697746,True,EleutherAI/pythia-6.9b,Pythia 6.9B,,,101000,
